ISCN 1-1 (2015-12-10),dataset_name_sub,dataset_name_soc,lat (dec. deg),long (dec. deg),datum (datum),state (state_province),country (country),site_name,observation_date (YYYY-MM-DD),profile_name,layer_name,layer_top (cm),layer_bot (cm),hzn_desgn_other,hzn,hzn_desgn,layer_note,color,vegclass_local,soil_taxon,soil_series,bd_method,bd_samp (g cm-3),bd_tot (g cm-3),bd_whole (g cm-3),bd_other (g cm-3),bdNRCS_prep_code,cNRCS_prep_code,c_method,c_tot (percent),oc (percent),loi (percent),n_tot (percent),c_to_n (mass ratio),soc (g cm-2),soc_carbon_flag,soc_method,ph_method,ph_cacl,ph_h2o,ph_other,caco3 (percent),sand_tot_psa (percent),silt_tot_psa (percent),clay_tot_psa (percent),wpg2_method,wpg2 (percent),cat_exch (cmol H+ kg-1),al_dith (specified by al_fe_units),al_ox (specified by al_fe_units),al_other (specified by al_fe_units),fe_dith (specified by al_fe_units),fe_ox (specified by al_fe_units),fe_other (specified by al_fe_units),mn_dith (specified by al_fe_units),mn_ox (specified by al_fe_units),mn_other (specified by al_fe_units),al_fe_units (extract_units),al_fe_method,ca_al (specified by bc_units),ca_ext (specified by bc_units),k_ext (specified by bc_units),mg_ext (specified by bc_units),na_ext (specified by bc_units),bc_units (extract_units),bc_method,base_sum (specified by cec_h_units),cec_sum (specified by cec_h_units),ecec (specified by cec_h_units),cec_h_units (extract_units),bs (percent),bs_sum (percent),h_ext (specified by metal_ext_units),zn_ext (specified by metal_ext_units),metal_ext_units (extract_units),metal_ext_method,p_bray (specified by p_units),p_ox (specified by p_units),p_meh (specified by p_units),p_other (specified by p_units),p_units (extract_units),p_method,root_quant_size,root_weight (g),15n (‰),13c (‰),14c (‰),14c_sigma (‰),14c_age (BP),14c_age_sigma (BP),fraction_modern,fraction_modern_sigma,textureClass,locator_parent_alias
NA,Heckman lithosequence,Heckman lithosequence,35.159439999999996,-111.74083,WGS84,Arizona,NA,Flagstaff Basalt,39024,FGBA2,FGBA2_A,NA,NA,NA,NA,NA,NA,NA,NA,"clayey-skeletal, mixed superactive, mesic Typic Paleustoll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heckman lithosequence,Heckman lithosequence,35.159439999999996,-111.74083,WGS84,Arizona,NA,Flagstaff Basalt,39024,FGBA2,FGBA2_Bt1,NA,NA,NA,NA,NA,NA,NA,NA,"clayey-skeletal, mixed superactive, mesic Typic Paleustoll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heckman lithosequence,Heckman lithosequence,35.159439999999996,-111.74083,WGS84,Arizona,NA,Flagstaff Basalt,39024,FGBA2,FGBA2_Bt2,NA,NA,NA,NA,NA,NA,NA,NA,"clayey-skeletal, mixed superactive, mesic Typic Paleustoll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heckman lithosequence,Heckman lithosequence,35.159439999999996,-111.74083,WGS84,Arizona,NA,Flagstaff Basalt,39024,FGBA2,FGBA2_Bt3,NA,NA,NA,NA,NA,NA,NA,NA,"clayey-skeletal, mixed superactive, mesic Typic Paleustoll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heckman lithosequence,Heckman lithosequence,35.084440000000001,-111.60972,WGS84,Arizona,NA,Flagstaff Dolostone,38869,FGDS2,FGDS2_A,NA,NA,NA,NA,NA,NA,NA,NA,"loamy, mixed, superactive, mesic Lithic Argiustoll",Spudrock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heckman lithosequence,Heckman lithosequence,35.084440000000001,-111.60972,WGS84,Arizona,NA,Flagstaff Dolostone,38869,FGDS2,FGDS2_Bt,NA,NA,NA,NA,NA,NA,NA,NA,"loamy, mixed, superactive, mesic Lithic Argiustoll",Spudrock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Lehmann Soil C&BC #1,ISCN No SOC stock computation,25.377020000000002,-81.032349999999994,WGS84,Florida,Unknown,SRS 5,40071,SRS 5,SRS 5.1,0,2,NA,?,unknown,heaps of tiny shell fragments,10 YR 2/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIR,NA,10,NA,1.2,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Lehmann Soil C&BC #1,ISCN No SOC stock computation,25.377020000000002,-81.032349999999994,WGS84,Florida,Unknown,SRS 5,40071,SRS 5,SRS 5.2,2,5,NA,?,unknown,"one sharp white/transparent conglomerate fragment (0,25% of sample)",10 YR 2/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIR,NA,14.2,NA,1.2,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Lehmann Soil C&BC #1,ISCN No SOC stock computation,25.377020000000002,-81.032349999999994,WGS84,Florida,Unknown,SRS 5,40071,SRS 5,SRS 5.3,5,11,NA,?,unknown,roots appear to be hollow (weedy plant?),10 YR 2/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIR,NA,12.2,NA,1.1000000000000001,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010666,0,20,NA,A,Ap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.5,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,5,NA,NA,76,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.4,0.7,0.1,meq 100g-1,NA,3.3,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010667,20,43,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.57999999999999996,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.2,NA,NA,80,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,0.3,1.8,0.1,meq 100g-1,NA,7.9,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010668,43,71,NA,A,2Ab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.67,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.3,NA,NA,25,59,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,0.3,2.6,0.1,meq 100g-1,NA,10.199999999999999,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
