site.id,state.country,site,project,lat,lon,elevation,mat,map,treatments,technique,season,biome,sub.biome,species,soil.type,soil.texture.class,perc.sand,perc.silt,perc.clay,start.date,C.pool.abg,C.pool.bwg,N.pool.abg,N.pool.bwg,P.pool.bwg,soil.depth.pool,Ndep.rate,bulk.density,pH,percent.om,source,notes,Reference
Abisko.1,Sweden,Abisko,,68.33,20.85,450,-0.7,299,T x NPKMg x Shading,greenhouse,summer,tundra,heathland,ericoid dwarf shrubs and mosses,,,,,13,1989,630,2786,10.6,105,6.35,0-10,,,7.1,81.3,Table 1 (Jonasson 1999a); Fig 2 (Jonasson 1999b),heath,"Jonasson et al. 1999a (Ecology); Jonasson et al. 1999b (Applied Soil Ecology); has diagram of pools and fluxes; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.1.lowT,Sweden,Abisko,,68.33,20.85,450,-0.7,299,T x NPKMg x Shading,greenhouse,summer,tundra,heathland,ericoid dwarf shrubs and mosses,,,,,13,1989,630,2786,10.6,105,6.35,0-10,,,7.1,81.3,Table 1 (Jonasson 1999a); Fig 2 (Jonasson 1999b),heath,"Jonasson et al. 1999a (Ecology); Jonasson et al. 1999b (Applied Soil Ecology); has diagram of pools and fluxes; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.1.highT,Sweden,Abisko,,68.33,20.85,450,-0.7,299,T x NPKMg x Shading,greenhouse,summer,tundra,heathland,ericoid dwarf shrubs and mosses,,,,,13,1989,630,2786,10.6,105,6.35,0-10,,,7.1,81.3,Table 1 (Jonasson 1999a); Fig 2 (Jonasson 1999b),heath,"Jonasson et al. 1999a (Ecology); Jonasson et al. 1999b (Applied Soil Ecology); has diagram of pools and fluxes; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.2,Sweden,Abisko,,68.33,20.85,450,-0.7,299,T x NPKMg x Shading,greenhouse,summer,tundra,heathland,ericoid dwarf shrubs and mosses,,,,,13,1989,,6819,,257,15.5,0-15,,,7.1,81.3,Table 1,"92% OM in top soil (0-5); 79% at 5-10 cm; Jonasson et al. 1993 had 5 cm plugs from different treatments, for an average of 81.45 %som","Schmidt et al. 2002; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.3,Sweden,Abisko,,68.3,20.8,1150,-4.8,500,T x NPKMg,greenhouse,summer,tundra,fell-field,ericoid dwarf shrubs and mosses,,,,,13,1989,,1010,,40,5.13,0-2.7,,,5.2,47.4,Table 1,"fell-field; Jonasson et al. 1993 had 3 cm plugs from different treatments, for an average of 53.6% som","Jonasson et al. 1999 (Ecology)/Schmidt et al. 2002; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.3.lowT,Sweden,Abisko,,68.3,20.8,1150,-4.8,500,T x NPKMg,greenhouse,summer,tundra,fell-field,ericoid dwarf shrubs and mosses,,,,,13,1989,,1010,,40,5.13,0-2.7,,,5.2,47.4,Table 1,"fell-field; Jonasson et al. 1993 had 3 cm plugs from different treatments, for an average of 53.6% som","Jonasson et al. 1999 (Ecology)/Schmidt et al. 2002; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.3.highT,Sweden,Abisko,,68.3,20.8,1150,-4.8,500,T x NPKMg,greenhouse,summer,tundra,fell-field,ericoid dwarf shrubs and mosses,,,,,13,1989,,1010,,40,5.13,0-2.7,,,5.2,47.4,Table 1,"fell-field; Jonasson et al. 1993 had 3 cm plugs from different treatments, for an average of 53.6% som","Jonasson et al. 1999 (Ecology)/Schmidt et al. 2002; %OM Calculated average of Anders Michelsen data of 1993, 1994, 1998 (0-10cm) across treatments"
Abisko.4,Sweden,Abisko,,68.35,20.82,400,-0.7,299,T x litter,OTC; betula pubescens litter,,tundra,heathland,Betula nana; carex species; Vaccinium uliginosum; Empetrum nigrum; Rhododendron lapponicum; Carex vaginata; Polygonum viviparum,,,,,13,,,,,,,0-10,,0.09335,4.2,89,,,Rinnan et al. 2008 (Applied Soil Ecology)
Abisko.bog,Sweden,Abisko,,68.35,18.82,340,-0.7,320,T,OTC,summer; winter or spring,wetland,blanket bog,Sphagnum fuscum; Empetrum nigrum; Betula nana; Rubus chamaemorus; Andromeda polifolia; Calamagrostis lapponica; Vaccinium uliginosum,,,,,11,Jun-00,,,,,,,,0.12,4.2,97.5,,,Aerts et al. 2006 (Plant Ecology); bd from peatlands (www.peatnet.siu.edu); % om is b/w 95 and 100% (Weedon et al. 2014)
Abisko.bog.winterT,Sweden,Abisko,,68.35,18.82,340,-0.7,320,T,OTC,winter,wetland,blanket bog,Sphagnum fuscum; Empetrum nigrum; Betula nana; Rubus chamaemorus; Andromeda polifolia; Calamagrostis lapponica; Vaccinium uliginosum,,,,,11,Jun-00,,,,,,,,0.12,4.2,97.5,,,Aerts et al. 2006 (Plant Ecology); bd from peatlands (www.peatnet.siu.edu); % om is b/w 95 and 100% (Weedon et al. 2014)
